BveTs Station List 2.00:UTF-8,,,,,,,,,,,,
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
Sta-2,姫　　路,8:48:00,8:50:00,90,8:48:00,1,0,0.52,,,0.3,0.04
Sta-1,英 賀 保,p,,,,0,0,0.45,,,0.52,0.03
Sta0,はりま勝原,p,,,,0,0,0.52,,,0.12,0.03
Sta1,網　　干,p,8:59:20,,,0,0,0.52,,,0.35,0.03
Sta2,竜　　野,p,,,,0,0,0.52,,,0,0
Sta3,相　　生,p,9:09:00,,,0,0,0.52,,,0.35,0.03
Sta4,有　　年,p,,,,0,0,0.52,,,0,0
Sta5,上　　郡,9:22:15,9:33:45,20,9:22:15,1,0,0.52,,,0.21,0
Sta6,三　　石,p,,,,0,0,0.52,,,0,0
Sta7,,,,,,0,0,0,,,0,0
Sta8,,,,,,0,0,0,,,0,0
Sta9,,,,,,0,0,0,,,0,0
Sta10,,,,,,0,0,0,,,0,0
Sta11,,,,,,0,0,0,,,0,0
Sta12,,,,,,0,0,0,,,0,0
Sta13,,,,,,0,0,0,,,0,0
Sta14,,,,,,0,0,0,,,0,0
Sta15,,,,,,0,0,0,,,0,0
Sta16,,,,,,0,0,0,,,0,0
Sta17,,,,,,0,0,0,,,0,0
